DATE,DEF,NDX 100 (Stooq ^NDX),"TQQQ (YF+SS 1%, ER 0.95%)","QLD (YF+SS 1%, ER 0.95%)",S&P 500 (Stooq ^SPX),1.00%,<- SS,0.95%,<- ER,TQQQ NO TAX,QLD NO TAX
1985. 10. 1,8.26,112.14,0.5045,0.14,185.07,,,,,0.02453,0.03201
1985. 10. 2,7.97,110.82,0.4865,0.13,184.06,,,,,0.02366,0.03125
1985. 10. 3,7.9,110.87,0.4869,0.13,184.36,,,,,0.02369,0.03128
1985. 10. 4,7.73,110.07,0.4761,0.13,183.22,,,,,0.02318,0.03083
1985. 10. 7,7.8,108.2,0.4511,0.13,181.87,,,,,0.022,0.02978
1985. 10. 8,7.7,107.16,0.4378,0.12,181.87,,,,,0.02136,0.02921
1985. 10. 9,8.32,108.63,0.4556,0.13,182.52,,,,,0.02224,0.03001
1985. 10. 10,8.28,109.43,0.4655,0.13,182.78,,,,,0.02274,0.03045
1985. 10. 11,7.94,111.05,0.4859,0.13,184.28,,,,,0.02375,0.03136
1985. 10. 14,7.94,113.18,0.5131,0.14,186.37,,,,,0.02511,0.03256
1985. 10. 15,8.16,113.38,0.5155,0.14,186.08,,,,,0.02524,0.03267
1985. 10. 16,7.98,114.32,0.5281,0.14,187.98,,,,,0.02587,0.03322
1985. 10. 17,7.99,114.74,0.5336,0.14,187.66,,,,,0.02616,0.03346
1985. 10. 18,8,114.32,0.5275,0.14,187.04,,,,,0.02587,0.03321
1985. 10. 21,8.15,113.68,0.5178,0.14,186.96,,,,,0.02544,0.03284
1985. 10. 22,8.11,114.44,0.5279,0.14,188.04,,,,,0.02595,0.03328
1985. 10. 23,8.71,115.07,0.5363,0.14,189.09,,,,,0.02637,0.03365
1985. 10. 24,8.22,115.49,0.5419,0.14,188.5,,,,,0.02666,0.03389
1985. 10. 25,7.87,113.91,0.5194,0.14,187.52,,,,,0.02557,0.03297
1985. 10. 28,7.86,113.82,0.5173,0.14,187.76,,,,,0.02551,0.03291
1985. 10. 29,7.73,115.4,0.5386,0.14,189.23,,,,,0.02657,0.03383
1985. 10. 30,7.8,115.77,0.5435,0.14,190.07,,,,,0.02683,0.03404
1985. 10. 31,8.08,115.48,0.5391,0.14,189.82,,,,,0.02662,0.03387
1985. 11. 1,8.32,116.28,0.5501,0.15,191.53,,,,,0.02718,0.03434
1985. 11. 4,8.33,116.04,0.5458,0.14,191.25,,,,,0.02701,0.0342
1985. 11. 5,8.29,116.44,0.5511,0.15,192.37,,,,,0.02729,0.03444
1985. 11. 6,8.42,117.38,0.5642,0.15,192.76,,,,,0.02795,0.03499
1985. 11. 7,8.18,117.62,0.5673,0.15,192.62,,,,,0.02812,0.03514
1985. 11. 8,7.87,119.26,0.5907,0.15,193.72,,,,,0.0293,0.03612
1985. 11. 11,7.87,120.4,0.6068,0.16,197.28,,,,,0.03014,0.03681
1985. 11. 12,8.03,121.82,0.6279,0.16,198.08,,,,,0.0312,0.03768
1985. 11. 13,7.97,121.17,0.6175,0.16,197.1,,,,,0.0307,0.03727
1985. 11. 14,7.95,121.83,0.6273,0.16,199.06,,,,,0.03121,0.03768
1985. 11. 15,8.58,122.18,0.6324,0.16,198.11,,,,,0.03148,0.0379
1985. 11. 18,7.81,121.96,0.6279,0.16,198.71,,,,,0.03131,0.03776
1985. 11. 19,7.29,122.57,0.637,0.16,198.67,,,,,0.03178,0.03814
1985. 11. 20,8.12,122.2,0.6309,0.16,198.99,,,,,0.03149,0.03791
1985. 11. 21,8.04,123.61,0.6524,0.16,201.41,,,,,0.03258,0.03878
1985. 11. 22,7.41,123.97,0.6578,0.16,201.52,,,,,0.03286,0.03901
1985. 11. 25,7.94,123.14,0.6436,0.16,200.35,,,,,0.0322,0.03849
1985. 11. 26,7.9,123.95,0.656,0.16,200.67,,,,,0.03284,0.03899
1985. 11. 27,7.88,125.77,0.6845,0.17,202.54,,,,,0.03428,0.04014
1985. 11. 29,8.54,126.06,0.6886,0.17,202.17,,,,,0.03452,0.04032
1985. 12. 2,8.56,125.18,0.673,0.17,200.46,,,,,0.0338,0.03976
1985. 12. 3,8.68,125.23,0.6734,0.17,200.86,,,,,0.03384,0.03979
1985. 12. 4,8.69,127.94,0.7168,0.17,204.23,,,,,0.03604,0.04151
1985. 12. 5,8.29,128.46,0.7251,0.18,203.88,,,,,0.03647,0.04185
1985. 12. 6,7.99,126.96,0.6993,0.17,202.99,,,,,0.0352,0.04087
